gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
9465,3042415,  40900.00,  40057.34,     -2.06,0,Rupert
9781,4036498,  61275.00,  66469.19,      8.48,0,Vuoksi
90997,1068470,  51600.00,  51671.39,      0.14,0,Kamchatka
9495,3042645,  45800.00,  45754.49,     -0.10,0,Manicouagan
9421,5032596,  18800.00,  18762.85,     -0.20,0,Esmeraldas
81982,5035129,  78456.00,  79722.30,      1.61,0,Doce
95218,1071207, 224000.00, 224021.86,      0.01,0,Yana
81222,5034566,  51343.00,  52360.34,      1.98,0,Jari
9394,5033210,  24029.00,  24270.94,      1.01,0,Bo Bo
9530,3043777,  94300.00,  91677.36,     -2.78,0,Severn-CA
10614,3041450,  25511.00,  25136.91,     -1.47,0,Nushagak
9153,2060117,  45000.00,  45228.16,      0.51,0,Tsiribihina
9395,5033167,  23736.00,  23874.43,      0.58,0,Baker
81339,5033682,  23373.00,  30773.36,     31.66,1,Araguari
91120,1024609,  95100.00,    538.99,    -99.43,1,Pur
9507,3040757,  19200.00,  19331.20,      0.68,0,Nass
9830,4036791,  91491.00,  91287.34,     -0.22,0,Douro (Duero)
9449,5035429,  95000.00, 111383.66,     17.25,0,Negro-AR
9019,2060644,  55010.00,  55996.95,      1.79,0,Kouilou
9799,4036947, 110000.00, 110571.38,      0.52,0,Loire
32163,5030550,   8620.00,   9132.82,      5.95,0,Puelo
9308,1066297,  25325.00,  25693.08,      1.45,0,Dongjiang
9272,1062916,  20000.00,  12455.42,    -37.72,1,Tista
9789,4037012, 123532.00, 122896.96,     -0.51,0,Elbe (Labe)
10608,3041333,  28024.00,  24134.96,    -13.88,0,Alsek
60063,3042410,  39847.10,  40113.91,      0.67,0,Tombigbee River
82110,5034667,  55500.00,  56204.80,      1.27,0,Paraiba do Sul
81428,5036185, 282000.00, 298468.00,      5.84,0,Parnaiba
9222,4036385,  60769.00,  61721.97,      1.57,0,Karun
81215,5033991,  34693.00,  35950.09,      3.62,0,Curua-2
91062,4036313,  56400.00,  56433.49,      0.06,0,Mezen
31115,6019914,  10800.00,  10502.80,     -2.75,0,Kinabatangan
9522,3042506,  42000.00,  42141.57,      0.34,0,Saint-Maurice
9957,2058082,  20000.00,  23151.22,     15.76,0,Nyanga
81347,5033848,  38178.00,  33362.41,    -12.61,0,Capim
9654,3019385,   9000.00,    717.86,    -92.02,1,Rompido de Sama
30215,2062832, 268000.00, 385800.69,     43.96,1,Senegal
9652,3040995,  21419.00,  21212.40,     -0.96,0,Papaloapan
9215,4037429, 274100.00, 305234.78,     11.36,0,Euphrates (Fira
9771,4035914,  40221.00,  42242.42,      5.03,0,Glomma (Glma )
9542,3042649,  44548.00,  46133.17,      3.56,0,Apalachicola
95863,1068396,  48000.00,  49602.77,      3.34,0,Nadym
9870,4036949, 109729.00, 110528.74,      0.73,0,Odra (Oder)
90453,4036575,  70350.00,  70699.07,      0.50,0,Daugava (Zapadn
10217,3043912, 103000.00, 103594.27,      0.58,0,"Hayes, MB"
71288,3042162,  36300.00,  35159.90,     -3.14,0,GR Baleine
9044,2060533,  53225.00,  53396.39,      0.32,0,Mangoky
9460,3042486,  41700.00,  41424.31,     -0.66,0,Feuilles (R aux
9533,3042462,  42700.00,  40896.46,     -4.22,0,Melezes (R aux)
70992,3044666, 287000.00, 295902.72,      3.10,0,Churchill
9336,1063186,  11900.00,  13075.72,      9.88,0,Kelantan
9729,6020778,  20306.00,  20677.74,      1.83,0,Clutha
9092,2052305,   6810.00,   7049.70,      3.52,0,Cross
9780,4036086,  50599.00,  47713.28,     -5.70,0,Kemi
9776,4036095,  46858.00,  48290.08,      3.06,0,Gota
9323,1066175,  25046.00,  24991.28,     -0.22,0,Han
9480,3043845,  93900.00,  97265.12,      3.58,0,Back
91095,4036374,  55735.00,  60449.96,      8.46,0,Onega
9229,1068974,  61575.00,  64056.59,      4.03,0,Tapi (Tapti)
95212,1069493,  78800.00,  79250.84,      0.57,0,Anabar
81875,5034952,  67769.00,  68251.65,      0.71,0,Jequitinhonha
90603,4036089,  48100.00,  48392.86,      0.61,0,Kuban
9627,3043241,  58115.00,  62275.91,      7.16,0,Pnuco
9111,2062780, 342000.00, 343480.34,      0.43,0,Limpopo
9487,3042730,  50000.00,  47992.53,     -4.01,0,Winisk
9843,4036739,  84230.00,  84418.06,      0.22,0,Ebro
90666,4036297,  56000.00,  55905.52,     -0.17,0,Narva
9610,3044803, 444700.97, 427593.34,     -3.85,0,Colorado-AR
33120,4036458,  65000.00,  64861.72,     -0.21,0,Seine
71116,3042916,  50700.00,  51329.85,      1.24,0,Coopermine
90845,4036481,  66100.00,  66351.38,      0.38,0,Dnestr
9840,4036505,  67490.00,  67519.05,      0.04,0,"Tagus (Tejo, Ta"
81396,5034510,  50800.00,  50041.05,     -1.49,0,Itapecuru
9722,6021727, 129450.00, 129531.66,      0.06,0,Burdekin
80646,6021809, 991000.00, 247764.75,    -75.00,1,Murray
95062,1068377,  49600.00,  49213.00,     -0.78,0,Bolshoy Anyuy
9625,3044069, 128943.00, 122370.47,     -5.10,0,Grande de Santi
9174,2061594,  95500.00,  95772.03,      0.28,0,Bandama
9266,1069278,  74004.00,  73577.75,     -0.58,0,Cauvery
9986,2062323, 179520.00, 170196.09,     -5.19,0,Juba
9721,6021735, 135860.00, 135371.64,     -0.36,0,Fitzroy-QX
9604,3043947, 116568.00, 107428.05,     -7.84,0,Brazos
9169,2061055,  66500.00,  68713.95,      3.33,0,Como (Komo)
81461,5034466,  48200.00,  48409.11,      0.43,0,Jaguaribe
9715,6021428,  46600.00,  47695.06,      2.35,0,Daly
9936,2060280,  46990.00,  47608.57,      1.32,0,Oum
9837,4036378,  60883.00,  61376.02,      0.81,0,Guadiana
10202,3043111,  56300.00,  57437.63,      2.02,0,Anderson
9716,6021618,  44900.00,  74127.95,     65.10,1,Victoria
50003,6021360,  47400.00,  43353.89,     -8.54,0,Roper
31046,1070747, 120764.00, 166874.42,     38.18,1,Liao
9207,2063202, 850530.00, 787443.75,     -7.42,0,Orange (Senqu)
81809,5034609,  53866.00,  54039.95,      0.32,0,Paraguacu
81836,5034635,  56290.00,  55099.92,     -2.11,0,Contas [de]
9841,4036047,  46995.00,  46936.67,     -0.12,0,Guadalquivir
9629,3042860,  57908.00,  50872.44,    -12.15,0,Yaqui
9605,3043938, 108787.00, 106677.54,     -1.94,0,Colorado-TX
9645,3044864, 456700.00, 474136.94,      3.82,0,Rio Grande (Bra
80401,6021446,  49895.00,  49780.44,     -0.23,0,de Grey
80201,6021615,  73545.00,  73528.34,     -0.02,0,Gascoyne
80403,6021695, 118200.00,  95969.20,    -18.81,0,Avon
80200,6021429,  48945.00,  47867.21,     -2.20,0,Fortescue
80404,6021551,  84880.00,  63804.83,    -24.83,0,Murchison
9656,3042272,  37702.00,  37590.92,     -0.29,0,Grijalva
9458,3041794,  29800.00,  29861.51,      0.21,0,Baleine (R  la
10613,3040428,  16835.00,  17247.86,      2.45,0,Kvichak
9335,1061598,   9719.00,   9905.66,      1.92,0,Shinano
9559,3041887,  31339.00,  31210.47,     -0.41,0,Klamath
9778,4035097,  24707.00,  24773.40,      0.27,0,Lule
9500,3040765,  19100.00,  19441.11,      1.79,0,Petit Mecatina
81204,5033601,  30945.00,  29553.64,     -4.50,0,Par de Este
30140,2057075,  17990.00,  17857.73,     -0.74,0,Mania
90269,1067960,  41000.00,  42510.79,      3.68,0,Amgun
9710,3040174,  15073.00,  15958.66,      5.88,0,Grande de Matag
9536,3041438,  25019.00,  25229.97,      0.84,0,Connecticut
81358,5033781,  31064.00,  32372.19,      4.21,0,Gurupi
9333,1063211,  12697.00,  13043.44,      2.73,0,Ishikari
9497,3040733,  19000.00,  19165.81,      0.87,0,Moisie
82807,5032923,  20855.00,  21559.50,      3.38,0,Ribeira do Igua
9732,6019068,   6350.00,   6408.04,      0.91,0,Buller
9090,2058708,  26400.00,  27542.86,      4.33,0,Nyong
31065,1063383,  13560.00,  13539.55,     -0.15,0,Oujiang
9112,2061690, 100885.00, 102251.45,      1.35,0,Save (Sabi)
10611,3041407,  24657.00,  24749.62,      0.38,0,Kobuk
9150,2057199,  18550.00,  18415.65,     -0.72,0,Ikopa
30130,2056258,  14375.00,  14735.61,      2.51,0,Mahajilo
9705,3041856,  28600.00,  31102.71,      8.75,0,San Juan
