gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
9465,72020832,  40900.00,  39809.61,     -2.67,0,Rupert
9781,24013222,  61275.00,  60728.90,     -0.89,0,Vuoksi
90997,35058124,  51600.00,  51451.32,     -0.29,0,Kamchatka
9495,72029811,  45800.00,  46112.50,      0.68,0,Manicouagan
9421,67002174,  18800.00,  19606.13,      4.29,0,Esmeraldas
81982,63040541,  78456.00,  79873.27,      1.81,0,Doce
95218,35001959, 224000.00, 222540.81,     -0.65,0,Yana
81222,62023011,  51343.00,  51759.64,      0.81,0,Jari
9394,66013999,  24029.00,  24204.73,      0.73,0,Bo Bo
9530,71007492,  94300.00,  91356.20,     -3.12,0,Severn-CA
10614,81033918,  25511.00,  25374.01,     -0.54,0,Nushagak
9153,18006906,  45000.00,  44963.02,     -0.08,0,Tsiribihina
9395,66018263,  23736.00,  22967.18,     -3.24,0,Baker
81339,61046690,  23373.00,  30511.58,     30.54,1,Araguari
91120,31004469,  95100.00,  93870.67,     -1.29,0,Pur
9507,78003054,  19200.00,  18548.85,     -3.39,0,Nass
9830,23025919,  91491.00,  91673.29,      0.20,0,Douro (Duero)
9449,65019265,  95000.00, 113257.61,     19.22,0,Negro-AR
9019,13060707,  55010.00,  55073.55,      0.12,0,Kouilou
9799,23017383, 110000.00, 110123.59,      0.11,0,Loire
32163,66016362,   8620.00,   8916.14,      3.44,0,Puelo
9308,43088911,  25325.00,  25345.80,      0.08,0,Dongjiang
9272,45048486,  20000.00,  11501.86,    -42.49,1,Tista
9789,23001842, 123532.00, 122825.59,     -0.57,0,Elbe (Labe)
10608,81033953,  28024.00,  27217.76,     -2.88,0,Alsek
60063,73014304,  39847.10,  40137.28,      0.73,0,Tombigbee River
82110,63044046,  55500.00,  55692.16,      0.35,0,Paraiba do Sul
81428,63001092, 282000.00, 297959.91,      5.66,0,Parnaiba
9222,29028457,  60769.00,  61133.03,      0.60,0,Karun
81215,62053628,  34693.00,  35733.29,      3.00,0,Curua-2
91062,26008758,  56400.00,  56007.87,     -0.70,0,Mezen
31115,52005942,  10800.00,  10839.49,      0.37,0,Kinabatangan
9522,72039892,  42000.00,  41113.16,     -2.11,0,Saint-Maurice
9957,13052249,  20000.00,  22645.04,     13.23,0,Nyanga
81347,62038576,  38178.00,  32890.74,    -13.85,0,Capim
9654,75039431,   9000.00,    258.72,    -97.13,1,Rompido de Sama
30215,14009632, 268000.00, 385697.12,     43.92,1,Senegal
9652,75038450,  21419.00,  20804.05,     -2.87,0,Papaloapan
9215,29028150, 274100.00, 277617.22,      1.28,0,Euphrates (Fira
9771,25010192,  40221.00,  40548.75,      0.81,0,Glomma (Glma )
9542,73017652,  44548.00,  44584.39,      0.08,0,Apalachicola
95863,31007387,  48000.00,  47843.89,     -0.33,0,Nadym
9870,24030637, 109729.00, 110024.53,      0.27,0,Odra (Oder)
90453,24021635,  70350.00,  70780.91,      0.61,0,Daugava (Zapadn
10217,71004422, 103000.00, 102536.66,     -0.45,0,"Hayes, MB"
71288,72008829,  36300.00,  32896.84,     -9.38,0,GR Baleine
9044,18008512,  53225.00,  53179.46,     -0.09,0,Mangoky
9460,72003683,  41700.00,  40263.08,     -3.45,0,Feuilles (R aux
9533,72003723,  42700.00,  40674.66,     -4.74,0,Melezes (R aux)
70992,71000821, 287000.00,  29176.29,    -89.83,1,Churchill
9336,44047829,  11900.00,  12137.32,      1.99,0,Kelantan
9729,57005258,  20306.00,  20578.53,      1.34,0,Clutha
9092,13002325,   6810.00,   6717.07,     -1.36,0,Cross
9780,24003096,  50599.00,  50573.48,     -0.05,0,Kemi
9776,24018754,  46858.00,  48070.51,      2.59,0,Gota
9323,42065368,  25046.00,  24945.83,     -0.40,0,Han
9480,83006004,  93900.00,  93693.63,     -0.22,0,Back
91095,26012361,  55735.00,  55604.12,     -0.23,0,Onega
9229,45070796,  61575.00,  63528.88,      3.17,0,Tapi (Tapti)
95212,33007086,  78800.00,  78294.14,     -0.64,0,Anabar
81875,63032833,  67769.00,  67774.23,      0.01,0,Jequitinhonha
90603,22034412,  48100.00,  48518.93,      0.87,0,Kuban
9627,75033362,  58115.00,  64339.51,     10.71,0,Pnuco
9111,12059360, 342000.00, 342467.56,      0.14,0,Limpopo
9487,71011387,  50000.00,  50015.58,      0.03,0,Winisk
9843,21012376,  84230.00,  84210.59,     -0.02,0,Ebro
90666,24015998,  56000.00,  56033.75,      0.06,0,Narva
9610,77020614, 444700.97, 428176.81,     -3.72,0,Colorado-AR
33120,23013540,  65000.00,  64908.42,     -0.14,0,Seine
71116,83002869,  50700.00,  50982.23,      0.56,0,Coopermine
90845,22027609,  66100.00,  66213.87,      0.17,0,Dnestr
9840,23030052,  67490.00,  67076.73,     -0.61,0,"Tagus (Tejo, Ta"
81396,63001179,  50800.00,  50020.64,     -1.53,0,Itapecuru
9722,56028931, 129450.00, 129763.45,      0.24,0,Burdekin
80646,56154468, 991000.00, 256103.62,    -74.16,1,Murray
95062,35007561,  49600.00,  49098.55,     -1.01,0,Bolshoy Anyuy
9625,77045760, 128943.00, 128471.27,     -0.37,0,Grande de Santi
9174,14084222,  95500.00,  95765.60,      0.28,0,Bandama
9266,45100080,  74004.00,  73651.38,     -0.48,0,Cauvery
9986,11030655, 179520.00, 167990.52,     -6.42,0,Juba
9721,56062126, 135860.00, 135930.41,      0.05,0,Fitzroy-QX
9604,75011033, 116568.00, 108116.48,     -7.25,0,Brazos
9169,14076870,  66500.00,  69395.59,      4.35,0,Como (Komo)
81461,63006921,  48200.00,  48373.48,      0.36,0,Jaguaribe
9715,56002352,  46600.00,  47750.16,      2.47,0,Daly
9936,14076964,  46990.00,  47538.12,      1.17,0,Oum
9837,23032152,  60883.00,  60305.06,     -0.95,0,Guadiana
10202,82001794,  56300.00,  57141.34,      1.49,0,Anderson
9716,56011335,  44900.00,    332.25,    -99.26,1,Victoria
50003,56002245,  47400.00,  43306.00,     -8.64,0,Roper
31046,42056195, 120764.00, 164954.34,     36.59,1,Liao
9207,12080638, 850530.00, 790734.00,     -7.03,0,Orange (Senqu)
81809,63028187,  53866.00,  53423.55,     -0.82,0,Paraguacu
81836,63030581,  56290.00,  54687.83,     -2.85,0,Contas [de]
9841,23032090,  46995.00,  47162.03,      0.36,0,Guadalquivir
9629,77036185,  57908.00,  50727.28,    -12.40,0,Yaqui
9605,75017601, 108787.00, 107212.16,     -1.45,0,Colorado-TX
9645,75028601, 456700.00,    124.84,    -99.97,1,Rio Grande (Bra
80401,56029287,  49895.00,  47037.52,     -5.73,0,de Grey
80201,56061947,  73545.00,  73581.62,      0.05,0,Gascoyne
80403,56139243, 118200.00, 108083.55,     -8.56,0,Avon
80200,56043737,  48945.00,  47677.27,     -2.59,0,Fortescue
80404,56101923,  84880.00,  74859.37,    -11.81,0,Murchison
9656,75039431,  37702.00,    258.72,    -99.31,1,Grijalva
9458,72003771,  29800.00,  29903.76,      0.35,0,Baleine (R  la
10613,81034049,  16835.00,  16933.90,      0.59,0,Kvichak
9335,41004562,   9719.00,   9762.92,      0.45,0,Shinano
9559,77000706,  31339.00,  33804.44,      7.87,0,Klamath
9778,24003137,  24707.00,  24667.09,     -0.16,0,Lule
9500,72025549,  19100.00,  19165.41,      0.34,0,Petit Mecatina
81204,62010077,  30945.00,  29559.29,     -4.48,0,Par de Este
30140,18007073,  17990.00,  17978.20,     -0.07,0,Mania
90269,42004025,  41000.00,  40999.74,     -0.00,0,Amgun
9710,75047831,  15073.00,  15191.35,      0.79,0,Grande de Matag
9536,73003000,  25019.00,  25072.29,      0.21,0,Connecticut
81358,63000232,  31064.00,  32972.89,      6.15,0,Gurupi
9333,41001674,  12697.00,  12842.44,      1.15,0,Ishikari
9497,72025378,  19000.00,  18977.56,     -0.12,0,Moisie
82807,64033759,  20855.00,  20895.21,      0.19,0,Ribeira do Igua
9732,57002427,   6350.00,   6381.63,      0.50,0,Buller
9090,13016545,  26400.00,  26696.38,      1.12,0,Nyong
31065,43066538,  13560.00,  13539.45,     -0.15,0,Oujiang
9112,12042991, 100885.00, 100886.77,      0.00,0,Save (Sabi)
10611,81006772,  24657.00,  24640.83,     -0.07,0,Kobuk
9150,18002953,  18550.00,  18440.17,     -0.59,0,Ikopa
30130,18006923,  14375.00,  14532.02,      1.09,0,Mahajilo
9705,75049153,  28600.00,  31115.16,      8.79,0,San Juan
9653,75038427,   9224.00,   8996.89,     -2.46,0,Coatzacoalcos
9498,72025617,  16000.00,  15824.99,     -1.09,0,Natashquan
9774,27001411,   5760.00,   5794.00,      0.59,0,Hvita (Olfusa)
9543,73017551,  35224.00,  35296.96,      0.21,0,Altamaha
9548,73001658,  20953.00,  20890.85,     -0.30,0,Hudson
9523,72029888,  18900.00,  19036.02,      0.72,0,Outardes (R aux
10622,78000319,  17094.00,  16930.84,     -0.95,0,Taku
32151,66016336,   3714.00,   4003.60,      7.80,0,Bueno
9241,45070533,  33670.00,  33646.68,     -0.07,0,Mahi
82837,64047654,  11803.00,  11752.24,     -0.43,0,Itajai-Acu
9018,13060785,  23385.00,  23360.90,     -0.10,0,Niari
9777,24006875,  30639.00,  30813.42,      0.57,0,Angerman
9772,27001387,   7200.00,   7314.27,      1.59,0,Thjorsa
9688,77055142,  18176.00,  17815.08,     -1.99,0,Lempa
10002,51010276,  12804.00,  11867.35,     -7.32,0,Solo (Bengawan
71761,81006757,  31079.80,  27922.48,    -10.16,0,Noatak
31180,41003879,   6271.00,   6358.90,      1.40,0,Mogami
9532,72000763,  26900.00,  26831.69,     -0.25,0,Arnaud (Payne)
9541,73014532,  25511.00,  25471.83,     -0.15,0,Savannah
9683,77057411,   4767.00,   4800.70,      0.71,0,Grande de Terra
9537,73005147,  17560.00,  17498.34,     -0.35,0,Delaware
9115,12034537,  26314.00,  26365.23,      0.19,0,Buzi
9793,23004478,  29000.00,  28936.50,     -0.22,0,Maas (Meuse)
9540,73006616,  29940.00,  29954.26,      0.05,0,Potomac
31174,41005972,   4956.00,   5017.29,      1.24,0,Kiso
9748,21008126,  12368.00,  12413.45,      0.37,0,Drini
82938,64066965,  15543.00,  15563.75,      0.13,0,Camaqua
9783,23004508,  37788.00,  37352.24,     -1.15,0,Weser
9731,57000415,  11395.00,  11453.85,      0.52,0,Waikato
9254,45070745,  15152.00,  15087.48,     -0.43,0,Subarnarekha
9086,13008891,   8250.00,   8211.39,     -0.47,0,Wouri
33170,25010236,  16020.00,  16144.74,      0.78,0,Dramselv
9422,67003066,   8690.00,   8947.31,      2.96,0,Daule
9779,24013326,  36535.00,  36544.97,      0.03,0,Kymi
50001,44021756,  14660.00,  14798.62,      0.95,0,Sittang
9230,45060093,  19220.00,  20083.52,      4.49,0,Damodar
9833,23026042,  15457.00,  15407.58,     -0.32,0,Minho (Mino)
9324,42067270,  22916.00,  22864.76,     -0.22,0,Nagdong (Nakdon
9401,67001375,  13147.00,  12994.01,     -1.16,0,Pata
81219,62038944,  23070.00,  24274.43,      5.22,0,Bacaja
9546,74071255,  17024.00,  16993.23,     -0.18,0,Pearl
9544,73017506,  17068.00,  17199.62,      0.77,0,Pascagoula
9538,73011112,  22870.00,  22860.30,     -0.04,0,Pee Dee
95968,25006910,  27700.00,  28585.12,      3.20,0,Kem
31577,57004465,   3302.00,   2074.60,    -37.17,1,Waiau (S)
71746,35026586,  26700.00,     95.62,    -99.64,1,Anadyr Kolyma
9091,13025816,  18100.00,  18125.46,      0.14,0,Ntem
80364,44038052,  26449.00,  27236.13,      2.98,0,Mae Klong
9290,52000251,   4244.00,   4284.36,      0.95,0,Cagayan
9332,41006102,   7281.00,   7242.69,     -0.53,0,Yodo
9965,18002847,  11800.00,  11851.40,      0.44,0,Betsiboka
95061,35016622,  26400.00,  26158.42,     -0.92,0,Amguema
31132,52007541,   3210.00,   3210.83,      0.03,0,Tutoh
95985,25006891,  26600.00,  26637.76,      0.14,0,Nyzhny Vig (Sor
9563,78017888,   5796.00,   5771.13,     -0.43,0,Cowlitz
31587,53018928,   4210.00,    119.14,    -97.17,1,Musa
95984,25006892,  26500.00,  26566.68,      0.25,0,Belomorkanal
9916,52001036,   6487.00,   6472.64,     -0.22,0,Pampanga
31120,52005961,   5730.00,   5919.70,      3.31,0,Milan
32161,66014120,   5454.00,   5505.77,      0.95,0,Maule
9488,71021864,  24200.00,  24342.69,      0.59,0,Attawapiskat
10225,72006223,  12500.00,  12518.65,      0.15,0,Nastapoca
9151,18010377,  14160.00,  14420.16,      1.84,0,Mananara
9601,75011530,  24162.00,  24173.01,      0.05,0,Sabine
80202,56016618,  46530.00,  45512.32,     -2.19,0,Fitzroy-WX
9572,73009116,  21720.00,  21917.20,      0.91,0,Roanoke
9850,21001260,  11954.00,  12032.31,      0.66,0,Adige (Etsch)
9284,44047862,   3340.00,   3691.85,     10.53,0,Trengganu
9851,21008018,  16545.00,  16339.85,     -1.24,0,Tiber (Tevere)
9858,21021469,  20466.00,  20452.27,     -0.07,0,Ceyhan
9603,75011438,  44512.00,  44264.86,     -0.56,0,Trinity
9570,73001690,  12005.00,  12034.19,      0.24,0,Merrimack
9730,57001236,   6643.00,   6562.31,     -1.21,0,Wanganui
81333,61036929,   4018.00,   4111.25,      2.32,0,Cacipore
9093,14077473,   9760.00,   9839.61,      0.82,0,St Paul
9618,78024139,   9539.00,   9501.85,     -0.39,0,Umpqua
9614,77006259,   8063.00,   8083.75,      0.26,0,Eel
9276,45103303,   7343.00,   7285.92,     -0.78,0,Mahaweli Ganga
31124,52005833,   7718.00,   8034.36,      4.10,0,Pedas
9283,44048915,   7770.00,   8138.07,      4.74,0,Perak
9576,73020351,  20409.00,  19979.35,     -2.11,0,Suwannee
81365,63001119,  34030.00,  35239.70,      3.55,0,Pindare
9649,75035668,   7172.00,   7207.88,      0.50,0,Tecolutla
9075,14084409,  22714.00,  22718.36,      0.02,0,Pra
9571,73007817,  17503.00,  17522.05,      0.11,0,James
82806,64034615,   5390.00,   5419.37,      0.54,0,Juquia
9393,66013046,  13186.00,  13473.87,      2.18,0,Rapel
9675,67000012,   3612.00,   3856.01,      6.76,0,Bayano
9773,27000137,   7000.00,   6949.19,     -0.73,0,Jkuls  Fjll
9994,51010333,   8650.00,   8646.50,     -0.04,0,Brantas
